Y,MON,D,H,MIN,S,CHAM,CR,CS,P
2014,11,13,17,50,1,2,0,76,-105.28772
2014,11,13,17,55,1,3,0,28,-38.790215
2014,11,13,18,0,1,4,1,13,-16.624378
2014,11,13,18,5,1,1,2,8,-8.312189
2014,11,13,18,10,1,2,3,5,-2.7707295
2014,11,13,18,15,1,3,4,4,0.0
2014,11,13,18,20,1,4,4,3,1.3853648
2014,11,13,18,25,1,1,4,4,0.0
2014,11,13,18,30,1,2,4,90,-119.14137
2014,11,13,18,35,1,3,505,343,224.4291
2014,11,13,18,40,1,4,422,390,44.331673
2014,11,13,18,45,1,1,404,398,8.312189
2014,11,13,18,50,1,2,400,397,4.1560946
2014,11,13,18,55,1,3,398,396,2.7707295
2014,11,13,19,0,1,4,400,399,1.3853648
2014,11,13,19,5,1,1,397,397,0.0
2014,11,13,19,10,1,2,398,398,0.0
2014,11,13,19,15,1,3,398,398,0.0
2014,11,13,19,20,1,4,397,398,-1.3853648
2014,11,13,19,25,1,1,399,397,2.7707295
2014,11,13,19,30,1,2,399,399,0.0
2014,11,13,19,35,1,3,398,397,1.3853648
2014,11,13,19,40,1,4,399,400,-1.3853648
2014,11,13,19,45,1,1,400,399,1.3853648
2014,11,13,19,50,1,2,397,397,0.0
2014,11,13,19,55,1,3,399,400,-1.3853648
2014,11,13,20,0,1,4,399,396,4.1560946
2014,11,13,20,5,1,1,398,398,0.0
2014,11,13,20,10,1,2,399,399,0.0
2014,11,13,20,15,1,3,398,398,0.0
2014,11,13,20,20,1,4,401,401,0.0
2014,11,13,20,25,1,1,399,399,0.0
2014,11,13,20,30,1,2,398,398,0.0
2014,11,13,20,35,1,3,399,400,-1.3853648
2014,11,13,20,40,1,4,397,397,0.0
2014,11,13,20,45,1,1,397,398,-1.3853648
2014,11,13,20,50,1,2,399,399,0.0
2014,11,13,20,55,1,3,399,399,0.0
2014,11,13,21,0,1,4,398,399,-1.3853648
2014,11,13,21,5,1,1,399,399,0.0
2014,11,13,21,10,1,2,400,399,1.3853648
2014,11,13,21,15,1,3,397,397,0.0
2014,11,13,21,20,1,4,398,398,0.0
2014,11,13,21,25,1,1,398,399,-1.3853648
2014,11,13,21,30,1,2,399,399,0.0
2014,11,13,21,35,1,3,400,398,2.7707295
2014,11,13,21,40,1,4,399,399,0.0
2014,11,13,21,45,1,1,399,398,1.3853648
2014,11,13,21,50,1,2,399,399,0.0
2014,11,13,21,55,1,3,399,398,1.3853648
2014,11,13,22,0,1,4,399,399,0.0
2014,11,13,22,5,1,1,398,398,0.0
2014,11,13,22,10,1,2,399,399,0.0
2014,11,13,22,15,1,3,398,398,0.0
2014,11,13,22,20,1,4,399,398,1.3853648
2014,11,13,22,25,1,1,398,399,-1.3853648
2014,11,13,22,30,1,2,399,399,0.0
2014,11,13,22,35,1,3,396,397,-1.3853648
2014,11,13,22,40,1,4,398,400,-2.7707295
2014,11,13,22,45,1,1,397,398,-1.3853648
2014,11,13,22,50,1,2,398,397,1.3853648
2014,11,13,22,55,1,3,398,397,1.3853648
2014,11,13,23,0,1,4,399,399,0.0
2014,11,13,23,5,1,1,397,397,0.0
2014,11,13,23,10,1,2,398,398,0.0
2014,11,13,23,15,1,3,398,398,0.0
2014,11,13,23,20,1,4,397,398,-1.3853648
2014,11,13,23,25,1,1,398,399,-1.3853648
2014,11,13,23,30,1,2,397,398,-1.3853648
2014,11,13,23,35,1,3,398,398,0.0
2014,11,13,23,40,1,4,398,398,0.0
2014,11,13,23,45,1,1,397,397,0.0
2014,11,13,23,50,1,2,399,399,0.0
2014,11,13,23,55,1,3,399,399,0.0
2014,11,14,0,0,1,4,398,398,0.0
2014,11,14,0,5,1,1,400,400,0.0
2014,11,14,0,10,1,2,398,398,0.0
2014,11,14,0,15,1,3,399,399,0.0
2014,11,14,0,20,1,4,399,399,0.0
2014,11,14,0,25,1,1,399,400,-1.3853648
2014,11,14,0,30,1,2,400,400,0.0
2014,11,14,0,35,1,3,399,397,2.7707295
2014,11,14,0,40,1,4,397,397,0.0
2014,11,14,0,45,1,1,398,398,0.0
2014,11,14,0,50,1,2,397,398,-1.3853648
2014,11,14,0,55,1,3,397,396,1.3853648
2014,11,14,1,0,1,4,398,398,0.0
2014,11,14,1,5,1,1,399,399,0.0
2014,11,14,1,10,1,2,397,398,-1.3853648
2014,11,14,1,15,1,3,399,399,0.0
2014,11,14,1,20,1,4,397,397,0.0
2014,11,14,1,25,1,1,402,403,-1.3853648
2014,11,14,1,30,1,2,399,398,1.3853648
2014,11,14,1,35,1,3,398,398,0.0
2014,11,14,1,40,1,4,399,399,0.0
2014,11,14,1,45,1,1,398,398,0.0
2014,11,14,1,50,1,2,398,397,1.3853648
